,t,stimstate,Qm,Vm,"('m', 'Ih')","('m', 'Im')","('m', 'NaTs2t')","('h', 'NaTs2t')","('m', 'SKv31')",Cm,iax
417,0.010399999999999944,0.0,-0.0007794578180994659,-44.22006505260644,4.725189590435426e-06,1.8281120927506862e-05,0.004488879120870843,0.0015344245251438934,9.641348198932728e-06,0.017626790398706634,1.1676907243710769e-14
418,0.010424999999999943,0.0,-0.0007795732972262505,-44.225373056277,4.7268096768564614e-06,1.831391283566543e-05,0.004496983616550482,0.0015348740070169045,9.659749007519673e-06,0.01762728595266432,1.172357741612523e-14
419,0.01044999999999994,0.0,-0.0007796887566138766,-44.230680152641135,4.728430399750022e-06,1.8346686968122636e-05,0.004505082701554851,0.0015353237658935512,9.678140378356393e-06,0.017627781303003978,1.1770229805650746e-14
420,0.01047499999999994,0.0,-0.0007798041962656105,-44.235986341848985,4.730051759006807e-06,1.837944332792612e-05,0.004513176376886248,0.001535773801725353,9.69652231310636e-06,0.017628276449843393,1.1816864410375346e-14
421,0.010499999999999938,0.0,-0.0007799196161847183,-44.241291624050646,4.731673754517541e-06,1.841218191810753e-05,0.004521264643546959,0.001536224114463842,9.714894813433269e-06,0.01762877139330026,1.1863481228395783e-14
422,0.010524999999999937,0.0,-0.0007800350163744653,-44.24659599939623,4.733296386172975e-06,1.8444902741697694e-05,0.004529347502539243,0.0015366747040605612,9.733257881000359e-06,0.017629266133492152,1.1910080257817987e-14
423,0.010549999999999934,0.0,-0.0007801503969072409,-44.2518951782939,4.734919659997523e-06,1.847760605707802e-05,0.004537425020744279,0.0015371255742404034,9.751611641393424e-06,0.017629762381112985,1.1956691526743572e-14
424,0.010574999999999933,0.0,-0.0007802657577701961,-44.2571836086613,4.7365435899594435e-06,1.8510292453311684e-05,0.0045454973503495505,0.0015375767336150497,9.769956380676779e-06,0.017630262347229326,1.2003353886409865e-14
425,0.010599999999999932,0.0,-0.0007803810989665809,-44.26247113746867,4.738168175946378e-06,1.854296193327834e-05,0.004553564492301449,0.0015380281821339564,9.788292100433708e-06,0.017630762108669974,1.2049998417930696e-14
426,0.010624999999999931,0.0,-0.000780496420499645,-44.267757764864996,4.739793417845853e-06,1.857561449985681e-05,0.004561626447546312,0.0015384799197466071,9.806618802247567e-06,0.01763126166555288,1.2096625119455077e-14
427,0.01064999999999993,0.0,-0.0007806117223726374,-44.2730434909992,4.741419315545564e-06,1.860825015592509e-05,0.004569683217030473,0.0015389319464024825,9.824936487701266e-06,0.017631761017995913,1.21432339891408e-14
428,0.010674999999999928,0.0,-0.0007807270045888067,-44.27832831602022,4.7430458689332305e-06,1.864086890437535e-05,0.004577734801700249,0.0015393842620510826,9.843245158377613e-06,0.01763226016611684,1.218982502515449e-14
429,0.010699999999999927,0.0,-0.000780842267151401,-44.283612240076934,4.744673077896458e-06,1.8673470748083895e-05,0.00458578120250195,0.001539836866641905,9.861544815859146e-06,0.017632759110033352,1.2236398225672211e-14
