,t,stimstate,Qm,Vm,"('m', 'NapEt2')","('h', 'NapEt2')","('m', 'NaTat')","('h', 'NaTat')","('m', 'KPst')","('h', 'KPst')","('m', 'KTst')","('h', 'KTst')","('m', 'SKv31')",Cm,iax
238,0.005925000000000051,1.0,-0.0001897413199373121,-20.52910192151633,0.015198624808152381,2.3966565930138735e-07,0.015198624808152381,4.365683763570476e-05,0.00031352420809246375,1.6879417657996287e-06,0.00990322568622497,3.789016053535536e-05,3.576920432598039e-05,0.009242553359747621,753333.6934539315
239,0.005950000000000051,1.0,-0.00014383843804145034,-28.614190809226322,0.015257845789191418,2.4066825525283215e-07,0.015257845789191418,4.372582155735599e-05,0.00031469165350147513,1.693656992696352e-06,0.00994156188885086,3.8038825793407746e-05,3.5895382261222345e-05,0.005026821796235149,991636.2071119875
240,0.0059750000000000515,1.0,-0.00021507178660646047,-21.702082400577776,0.01533837243897018,2.4128195648005667e-07,0.01533837243897018,4.374464397878098e-05,0.000316439930123309,1.6968907939096731e-06,0.009992944812938059,3.810885617748747e-05,3.60952084288587e-05,0.009910191226660103,787034.17978936
241,0.006000000000000051,1.0,-0.0001526829388449353,-32.42372875884788,0.01538837490089163,2.42518211212075e-07,0.01538837490089163,4.3881211745858256e-05,0.0003173804851417614,1.7047537049518035e-06,0.010025677062100143,3.831289518846208e-05,3.619434307841723e-05,0.004708987667042174,1104615.128681861
242,0.006025000000000052,1.0,-0.00021235308297961244,-23.034645875122322,0.01546434158449857,2.4320225372497134e-07,0.01546434158449857,4.390557083782441e-05,0.0003189958873613647,1.708358333539327e-06,0.010074205630827957,3.839481076140513e-05,3.637679673900119e-05,0.00921885598462602,826820.8435830626
243,0.006050000000000053,1.0,-9.856081466738057e-05,-32.01504566940645,0.015515236538953966,2.444129377135432e-07,0.015515236538953966,4.4032576375065766e-05,0.000319958214944779,1.7159555469137578e-06,0.010107479303127024,3.8592867978673445e-05,3.647847345376131e-05,0.00307857798127601,1092801.9741576593
244,0.006075000000000053,1.0,-0.0001669963338498111,-14.875792045712027,0.015621638412005777,2.447192107760927e-07,0.015621638412005777,4.4037117512943575e-05,0.0003225929479810558,1.7178267131588874e-06,0.010176166312425254,3.862330487743889e-05,3.680299727414373e-05,0.011226046541699813,585950.9251993938
245,0.006100000000000053,1.0,-0.0001533405556205899,-25.190445080651266,0.015690670700714015,2.4552237776521834e-07,0.015690670700714015,4.40738951643125e-05,0.0003240167107830387,1.7221320235696557e-06,0.010220428718115012,3.872798104563167e-05,3.696095087006351e-05,0.006087250746449514,888352.5695670402
246,0.006125000000000053,1.0,-0.00022702392501730166,-23.133706749080215,0.015766285746747835,2.46211802206203e-07,0.015766285746747835,4.409874619330753e-05,0.0003256228601657846,1.7257667898616982e-06,0.010268728690801799,3.881087065844125e-05,3.714220843892761e-05,0.00981355592857284,827650.0673102646
247,0.006150000000000054,1.0,-0.000132545717035979,-34.21997105294841,0.015812467347309938,2.475613739151309e-07,0.015812467347309938,4.4283710523789005e-05,0.00032647233503601376,1.7348807281729742e-06,0.010299098348747112,3.904079361381315e-05,3.72307860560465e-05,0.003873343926296478,1157254.3983973705
