,t,stimstate,Qm,Vm,Cm,iax
286,0.007125000000000068,1.0,-0.0005603005363012711,-41.91304393195585,0.013368166177834677,120037.56406801585
287,0.007150000000000068,1.0,-0.0005598799019788297,-41.88298979288992,0.013367715742057059,119951.84545742189
288,0.0071750000000000685,1.0,-0.0005594979440294202,-41.852171030832714,0.013368432992812611,119860.61218032533
289,0.007200000000000068,1.0,-0.0005590602643231,-41.8241646813258,0.01336692002297697,119781.67586461449
290,0.007225000000000069,1.0,-0.0005586516601855214,-41.792072638612076,0.013367407379297529,119683.47517166812
291,0.00725000000000007,1.0,-0.0005582142733910801,-41.76211250738639,0.013366523862803868,119597.31632234008
292,0.00727500000000007,1.0,-0.0005578172601555144,-41.73004194188625,0.013367282518726853,119500.88040787142
293,0.00730000000000007,1.0,-0.0005573933821428694,-41.70093169178851,0.013366449130263146,119418.28642281695
294,0.00732500000000007,1.0,-0.0005570028114121739,-41.669851632350586,0.013367045707927171,119325.11621518436
295,0.007350000000000071,1.0,-0.0005565439630508629,-41.64121376682652,0.013365219519471205,119243.39716185337
296,0.007375000000000072,1.0,-0.0005561170896730814,-41.60756957223017,0.013365767224342911,119139.20178901932
297,0.0074000000000000715,1.0,-0.0005556934735654878,-41.57626988326746,0.01336564042723633,119048.81325549944
298,0.007425000000000072,1.0,-0.0005553175399162307,-41.5452090275257,0.013366584328611902,118957.64002189008
299,0.007450000000000072,1.0,-0.0005548692348555566,-41.517644398516694,0.013364660806126576,118880.53333220106
300,0.007475000000000073,1.0,-0.0005544542884029421,-41.4847732716443,0.013365248130256097,118778.57359512195
301,0.007500000000000073,1.0,-0.0005540377094006595,-41.454348102076416,0.013365008371049697,118690.99867510426
302,0.007525000000000073,1.0,-0.0005536677034604161,-41.423803228869275,0.013365931186988436,118601.06829172508
303,0.007550000000000074,1.0,-0.0005532470362674672,-41.39667323799432,0.013364528910011324,118525.16407047588
304,0.007575000000000074,1.0,-0.0005528570474762288,-41.36582860588223,0.013365066435478398,118431.05278152505
305,0.007600000000000075,1.0,-0.0005524374037244617,-41.337233409976264,0.01336416005990225,118349.14850211881
306,0.007625000000000074,1.0,-0.0005520621274335778,-41.306463819767295,0.013365029982774446,118256.5208509193
307,0.007650000000000075,1.0,-0.0005516218977123732,-41.278947390326806,0.013363274322291433,118179.00508319779
308,0.007675000000000076,1.0,-0.0005512126936282673,-41.2466683725594,0.013363811318030678,118079.23734936313
309,0.007700000000000076,1.0,-0.0005507999551612799,-41.21666425138101,0.013363525776902838,117992.74774870177
310,0.007725000000000076,1.0,-0.0005504293489229215,-41.18640097821371,0.013364346868134485,117903.45892759366
311,0.007750000000000076,1.0,-0.0005499861864866117,-41.15922697160655,0.013362403207086869,117826.99493243216
312,0.007775000000000077,1.0,-0.0005495770274842235,-41.12673185663003,0.01336301239301188,117726.04967077731
313,0.007800000000000077,1.0,-0.0005491666168659439,-41.09669960269086,0.013362791225940354,117640.01659303645
314,0.007825000000000078,1.0,-0.000548803000272024,-41.06657548019677,0.013363739095719565,117551.54634101359
315,0.007850000000000077,1.0,-0.0005483932761294462,-41.03988603716519,0.013362446368219162,117477.11772237196
316,0.007875000000000078,1.0,-0.0005480124523353793,-41.009812301959364,0.013362959291310787,117385.89037507272
317,0.007900000000000079,1.0,-0.0005475875911245131,-40.98185985114504,0.013361706694461148,117306.00853406709
318,0.00792500000000008,1.0,-0.0005471959368275555,-40.95067505574971,0.013362317863688697,117211.21591773933
319,0.007950000000000079,1.0,-0.0005467837187836767,-40.92192764646885,0.01336163153181418,117129.05898455597
320,0.00797500000000008,1.0,-0.000546409811345609,-40.89167085901015,0.013362374289609446,117038.80296429839
321,0.00800000000000008,1.0,-0.0005459828471535193,-40.86422606844157,0.013360900222093484,116961.23436233806
322,0.008025000000000079,1.0,-0.0005455949528215782,-40.83288691431097,0.013361655127802389,116865.39571499558
323,0.008050000000000078,1.0,-0.0005451896632050023,-40.80441548630762,0.013361045776723523,116784.46199431785
324,0.008075000000000075,1.0,-0.0005448303476170234,-40.77466724512785,0.013361981456320162,116696.02017825903
325,0.008100000000000074,1.0,-0.000544400178922082,-40.74829349575537,0.013360073078368069,116622.29083262026
326,0.008125000000000073,1.0,-0.0005440018760601307,-40.7167191312473,0.01336065104623438,116524.4640596115
327,0.008150000000000072,1.0,-0.0005435994692091187,-40.68748371756949,0.013360360964627163,116440.46421609017
328,0.00817500000000007,1.0,-0.0005432403511492516,-40.6579470712635,0.013361234156684873,116353.46845697533
329,0.008200000000000068,1.0,-0.000542806522249812,-40.63158782044629,0.013359224961832908,116279.65335184122
330,0.008225000000000067,1.0,-0.0005424085575221972,-40.59974479707867,0.013359900665218612,116180.46602354778
331,0.008250000000000066,1.0,-0.0005420103484223413,-40.57053420244725,0.013359704501737785,116096.69882538023
332,0.008275000000000065,1.0,-0.0005416553169865257,-40.541305670903384,0.01336057899524616,116010.84313236977
333,0.008300000000000063,1.0,-0.0005412571274551088,-40.5152463781234,0.013359344341723313,115937.91078048879
334,0.008325000000000062,1.0,-0.0005408888573663923,-40.48601928290215,0.013359892302250069,115849.23196093409
335,0.00835000000000006,1.0,-0.0005404679950085125,-40.45898827354398,0.013358415968150222,115772.07645557106
336,0.00837500000000006,1.0,-0.0005400768110513095,-40.428096993793304,0.013358947148420675,115677.31600736057
337,0.008400000000000057,1.0,-0.0005396731457738669,-40.39938410743109,0.013358449830293306,115594.71516448124
338,0.008425000000000056,1.0,-0.0005393119273139308,-40.36973042362461,0.013359314557085134,115506.90863461905
339,0.008450000000000055,1.0,-0.000538899114235659,-40.343189740864396,0.013357870750854331,115432.48497885496
340,0.008475000000000054,1.0,-0.0005385183071033015,-40.31285812118024,0.013358474992879898,115339.90813235656
341,0.008500000000000051,1.0,-0.0005381157348804885,-40.284878152231485,0.01335776002218542,115260.00646684633
342,0.00852500000000005,1.0,-0.000537757796818842,-40.255298983836695,0.013358683462635874,115171.719415338
343,0.008550000000000049,1.0,-0.0005373667035704861,-40.228999329761294,0.01335769500915584,115098.10106434468
344,0.008575000000000048,1.0,-0.0005370044685535419,-40.20026358398542,0.013358232525805338,115011.78025684194
345,0.008600000000000047,1.0,-0.0005365747124595044,-40.17364820925884,0.013356385003038877,114936.02073736415
346,0.008625000000000044,1.0,-0.0005361902177960096,-40.14207169415455,0.013357313042567483,114838.26201307855
347,0.008650000000000043,1.0,-0.0005358005830684893,-40.11382078225869,0.013357006952213838,114758.23515125168
348,0.008675000000000042,1.0,-0.0005354589070959886,-40.0851922019328,0.013358022693232097,114674.07397818453
349,0.008700000000000041,1.0,-0.0005350834894177318,-40.06008741189926,0.013357022512606728,114604.50870457516
350,0.008725000000000038,1.0,-0.0005347266638392609,-40.03250343542433,0.013357312632266886,114521.7334939268
351,0.008750000000000037,1.0,-0.0005343015254461432,-40.00628552153199,0.013355439488591712,114446.42752772114
352,0.008775000000000036,1.0,-0.0005339048954131468,-39.97504829400236,0.01335595373109908,114349.51450567614
353,0.008800000000000035,1.0,-0.0005335044742020423,-39.94590573057746,0.013355673490053318,114265.3999395751
354,0.008825000000000032,1.0,-0.0005331565683033549,-39.91648460869939,0.013356801670534855,114178.6308542301
355,0.008850000000000031,1.0,-0.0005327558159683903,-39.89092207214159,0.013355314650408848,114107.8329742088
356,0.00887500000000003,1.0,-0.0005323930263946934,-39.86147662079452,0.01335607888938465,114017.8709385286
357,0.00890000000000003,1.0,-0.000532006667107336,-39.8348204997704,0.01335531729358244,113942.40181830425
358,0.008925000000000028,1.0,-0.0005316590670063976,-39.8064325838288,0.013356109364655347,113857.6061378388
359,0.008950000000000026,1.0,-0.0005312632587482837,-39.78089251589302,0.01335473452577859,113785.80284010524
360,0.008975000000000025,1.0,-0.0005309062386099993,-39.751810332733456,0.013355523538831812,113697.13779582153
361,0.009000000000000024,1.0,-0.0005305157583039479,-39.725578123474584,0.013354513222060733,113622.99410376935
362,0.009025000000000023,1.0,-0.0005301630568437285,-39.696887413899944,0.013355280259532157,113536.51115869368
363,0.00905000000000002,1.0,-0.000529753932434043,-39.67097252138198,0.013353691597767475,113463.35044012209
364,0.009075000000000019,1.0,-0.0005293812108893465,-39.640893570828844,0.013354421739849739,113371.14753582326
365,0.009100000000000018,1.0,-0.0005290009387321612,-39.613479887771156,0.013354063824508029,113293.2892466686
366,0.009125000000000017,1.0,-0.000528663559066506,-39.58551085689254,0.013354976293667215,113211.02634417936
367,0.009150000000000014,1.0,-0.0005282541970708844,-39.56069657031324,0.013353005454087272,113141.86491499952
368,0.009175000000000013,1.0,-0.0005278842448727261,-39.53058798076825,0.013353817178979056,113048.4301194156
369,0.009200000000000012,1.0,-0.0005275073192702017,-39.503377983248356,0.01335347370784074,112971.2022501314
370,0.009225000000000011,1.0,-0.0005271726561608704,-39.475655091585764,0.013354373852385727,112889.63949704211
371,0.009250000000000008,1.0,-0.0005267861525122565,-39.45104060782207,0.013352908932085536,112821.10009640177
372,0.009275000000000007,1.0,-0.000526427508042703,-39.42261325052409,0.013353440186659989,112734.33001374986
373,0.009300000000000006,1.0,-0.0005260249394083252,-39.396234936850966,0.013352162719394413,112658.99627198577
374,0.009325000000000005,1.0,-0.0005256540116191823,-39.36662599927053,0.013352782929096405,112568.87856811694
375,0.009350000000000004,1.0,-0.0005252723063757519,-39.33934424699852,0.013352340168095932,112490.95616806818
376,0.009375000000000001,1.0,-0.000524931439708999,-39.31126981257488,0.01335320487513441,112407.95461063331
